time,log_type,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,events,slot,type,pci,rnti,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,max_pusch_harq_delay,avg_pucch_harq_delay,ue_log_type,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_events,ue_slot,ue_type,ue_pci,ue_rnti,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_max_pusch_harq_delay,ue_avg_pucch_harq_delay
2025-07-24 02:08:37.406370,metric,51,1400,600,0,0,42,0,0.881,0.1,0,0,1,22usec,1686usec,129.15,47Mbps,406kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,26,47Mbps,1177,54,4%,0,58871,0.009000153,32.3,-8.0,1,27,406kbps,60,0,0%,419,0,30,4,5,1,0,0,-0.09800001,188ns,n/a,13,4.43ms,4.5ms,4.19ms,4.05ms,4.5ms,3.92ms
2025-07-24 02:08:38.406504,metric,51,1399,600,0,0,40,0,0.85,0.103,0,0,1,13usec,41usec,274.15,47Mbps,420kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,47Mbps,1183,5,0%,0,55973,0.002000155,32.1,-8.1,1,27,421kbps,62,0,0%,434,0,33,2,0,0,0,0,-0.09800001,213ns,n/a,13,4.46ms,4.5ms,4.24ms,4.03ms,4.5ms,3.95ms
2025-07-24 02:08:39.406453,metric,51,1400,600,0,0,41,0,0.873,0.0917,0,0,1,13usec,36usec,316.16,47Mbps,367kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,26,47Mbps,1186,35,2%,24.1k,57794,1.6367994e-07,32.2,-8.2,1,27,367kbps,55,0,0%,379,0,39,0,0,0,0,0,-0.09800001,222ns,n/a,13,4.49ms,4.5ms,4.14ms,4.04ms,4.5ms,3.96ms
2025-07-24 02:08:40.406459,metric,51,1400,600,0,0,42,0,0.886,0.0833,0,0,1,13usec,34usec,472.15,47Mbps,337kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,26,47Mbps,1192,49,3%,39k,58838,-0.0059998166,32.1,-8.2,1,27,337kbps,50,0,0%,348,0,43,0,0,0,0,0,-0.09800001,227ns,n/a,13,4.47ms,4.5ms,4.22ms,4.03ms,4.5ms,3.94ms
2025-07-24 02:08:41.406486,metric,51,1400,600,0,0,43,0,0.902,0.0883,0,0,1,13usec,37usec,515.6,47Mbps,359kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,26,47Mbps,1218,45,3%,45.8k,60255,0.28699937,32.2,-8.3,1,27,360kbps,53,0,0%,371,0,39,0,0,0,0,0,-0.09800001,190ns,n/a,13,4.46ms,4.5ms,4.28ms,4.04ms,4.5ms,3.95ms
2025-07-24 02:08:42.406400,metric,51,1400,600,0,0,42,0,0.904,0.0917,0,0,1,13usec,74usec,655.11,47Mbps,371kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,26,47Mbps,1218,48,3%,63.4k,60036,0.41099206,32.2,-8.3,1,27,371kbps,55,0,0%,383,0,36,0,0,0,0,0,-0.09800001,180ns,n/a,13,4.46ms,4.5ms,4.27ms,4.04ms,4.5ms,3.95ms
2025-07-24 02:08:43.406454,metric,51,1400,600,0,0,44,0,0.924,0.085,0,0,1,13usec,40usec,723.16,47Mbps,344kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1212,82,6%,67.7k,61837,0.7299782,32.3,-8.3,1,27,344kbps,51,0,0%,355,0,41,0,0,0,0,0,-0.09800001,187ns,n/a,14,4.46ms,4.5ms,4.25ms,4.01ms,4.5ms,3.94ms
2025-07-24 02:08:44.406515,metric,51,1400,600,0,0,43,0,0.922,0.085,0,0,1,13usec,37usec,838.2,47Mbps,353kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1207,84,6%,89.9k,61499,1.0069674,32.0,-8.2,1,27,353kbps,50,1,1%,387,0,47,0,0,0,0,0,-0.19700003,196ns,n/a,13,4.48ms,4.5ms,4.28ms,4.03ms,4.5ms,3.94ms
2025-07-24 02:08:45.406440,metric,51,1400,600,0,0,44,0,0.932,0.0833,0,0,1,13usec,42usec,903.16,47Mbps,333kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,14,1.0,26,47Mbps,1211,95,7%,99.8k,61857,1.0039675,32.3,-8.3,1,27,333kbps,50,0,0%,344,0,47,0,0,0,0,0,-0.19700003,204ns,n/a,13,4.47ms,4.5ms,4.36ms,4.04ms,4.5ms,3.94ms
2025-07-24 02:08:46.406318,metric,51,1400,600,0,0,44,0,0.936,0.0833,0,0,1,13usec,60usec,977.16,47Mbps,339kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1203,108,8%,116k,61982,0.9929629,32.2,-8.3,1,27,339kbps,50,0,0%,350,0,47,0,0,0,0,0,-0.19700003,206ns,n/a,13,4.47ms,4.5ms,4.25ms,4.01ms,4.5ms,3.94ms
2025-07-24 02:08:47.406353,metric,51,1400,600,0,0,43,0,0.912,0.085,0,0,1,13usec,56usec,70.15,47Mbps,345kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,14,1.0,26,47Mbps,1192,87,6%,136k,60385,0.99396145,32.1,-8.2,1,27,346kbps,51,0,0%,357,0,50,0,0,0,0,0,-0.19700003,212ns,n/a,13,4.48ms,4.5ms,4.27ms,4.05ms,4.5ms,3.94ms
2025-07-24 02:08:48.406429,metric,51,1400,600,0,0,43,0,0.924,0.085,0,0,1,13usec,36usec,246.3,47Mbps,345kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1201,91,7%,136k,60906,0.9929606,32.1,-8.2,1,27,346kbps,51,0,0%,357,0,50,0,0,0,0,0,-0.19700003,221ns,n/a,13,4.47ms,4.5ms,4.29ms,4.06ms,4.5ms,3.94ms
2025-07-24 02:08:49.406395,metric,51,1399,597,0,7,43,0,0.914,0.0854,0,0,1,13usec,46usec,345.3,46Mbps,331kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,46Mbps,1168,107,8%,74.9k,61217,0.99795324,31.0,-9.3,1,26,331kbps,50,2,3%,383,0,46,2,0,0,1,0,-0.29400006,217ns,n/a,13,4.47ms,4.5ms,4.09ms,4.23ms,11.5ms,3.94ms
2025-07-24 02:08:50.406492,metric,51,1400,600,0,0,44,0,0.932,0.0833,0,0,1,13usec,42usec,397.12,48Mbps,339kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,48Mbps,1214,91,6%,1.58k,61603,0.99695116,32.2,-8.2,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.29400006,175ns,n/a,13,4.47ms,4.5ms,4.27ms,4.06ms,4.5ms,3.94ms
2025-07-24 02:08:51.406366,metric,51,1400,600,0,0,43,0,0.92,0.085,0,0,1,13usec,38usec,528.16,47Mbps,344kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1192,96,7%,27.8k,60871,0.98594725,32.3,-8.2,1,27,344kbps,51,0,0%,355,0,50,0,0,0,0,0,-0.29400006,181ns,n/a,13,4.48ms,4.5ms,4.23ms,4.07ms,4.5ms,3.93ms
2025-07-24 02:08:52.406371,metric,51,1400,600,0,0,42,0,0.906,0.0833,0,0,1,13usec,39usec,604.15,47Mbps,335kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1195,74,5%,27.5k,60199,0.9679453,32.1,-8.2,1,27,335kbps,50,0,0%,346,198,48,0,0,0,0,0,-0.29400006,189ns,n/a,13,4.47ms,4.5ms,4.29ms,4.04ms,4.5ms,3.94ms
2025-07-24 02:08:53.406464,metric,51,1400,600,0,0,42,0,0.906,0.0833,0,0,1,13usec,41usec,655.3,47Mbps,339kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,26,47Mbps,1193,75,5%,48.2k,60176,0.75593907,32.1,-8.2,1,27,339kbps,50,0,0%,350,0,45,0,0,0,0,0,-0.29400006,198ns,n/a,13,4.47ms,4.5ms,4.24ms,4.07ms,4.5ms,3.95ms
2025-07-24 02:08:54.406471,metric,51,1400,600,0,0,43,0,0.921,0.0867,0,0,1,13usec,39usec,811.6,47Mbps,350kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1195,95,7%,67.7k,61185,0.5489304,32.1,-8.2,1,27,351kbps,52,0,0%,362,0,45,0,0,0,0,0,-0.29400006,202ns,n/a,13,4.49ms,4.5ms,4.28ms,4.04ms,4.5ms,3.94ms
2025-07-24 02:08:55.406436,metric,51,1400,600,0,0,43,0,0.924,0.0833,0,0,1,13usec,39usec,881.3,47Mbps,339kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1206,88,6%,67.7k,61006,0.82691634,32.2,-8.3,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,-0.29400006,210ns,n/a,13,4.46ms,4.5ms,4.27ms,4.03ms,4.5ms,3.93ms
2025-07-24 02:08:56.406425,metric,51,1399,600,0,0,43,0,0.925,0.0833,0,0,1,13usec,39usec,1007.3,47Mbps,339kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1199,95,7%,97.1k,61039,0.9909057,32.0,-8.3,1,27,339kbps,50,0,0%,350,0,49,0,0,0,0,0,-0.29400006,216ns,n/a,13,4.47ms,4.5ms,4.32ms,4.07ms,4.5ms,3.94ms
2025-07-24 02:08:57.406440,metric,51,1400,600,0,0,43,0,0.914,0.085,0,0,1,13usec,47usec,62.6,47Mbps,345kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1184,95,7%,99.9k,60340,0.98590153,32.0,-8.3,1,27,346kbps,51,0,0%,357,0,50,0,0,0,0,0,-0.29400006,221ns,n/a,13,4.49ms,4.5ms,4.28ms,4.03ms,4.5ms,3.94ms
2025-07-24 02:08:58.406306,metric,51,1400,600,0,0,44,0,0.937,0.085,0,0,1,13usec,42usec,204.16,47Mbps,345kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4ms,,,,1,4601,14,1.0,26,47Mbps,1191,121,9%,116k,61951,0.9048908,32.2,-8.2,1,27,346kbps,51,0,0%,357,0,48,0,0,0,0,0,-0.29400006,201ns,n/a,13,4.47ms,4.5ms,4.25ms,4.03ms,4.5ms,3.94ms
2025-07-24 02:08:59.406442,metric,51,1400,600,0,0,41,0,0.882,0.0867,0,0,1,13usec,36usec,322.0,47Mbps,352kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,14,1.0,26,47Mbps,1188,54,4%,137k,58500,1.0088835,32.5,-8.0,1,27,353kbps,52,0,0%,364,198,40,0,0,0,0,0,-0.29400006,177ns,n/a,13,4.47ms,4.5ms,4.29ms,4.04ms,4.5ms,3.94ms
2025-07-24 02:09:00.406399,metric,51,1400,600,0,0,39,0,0.844,0.103,0,0,1,12usec,34usec,378.16,47Mbps,410kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,47Mbps,1177,1,0%,0,55716,0.9998835,32.0,-8.0,1,27,410kbps,59,2,3%,476,276,30,0,0,0,0,0,-0.49200007,182ns,n/a,13,4.48ms,4.5ms,4.21ms,4.02ms,4.5ms,3.95ms
2025-07-24 02:09:01.406389,metric,51,1400,600,0,0,39,0,0.848,0.1,0,0,1,12usec,39usec,443.16,47Mbps,408kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,47Mbps,1186,0,0%,0,55700,0.9998835,32.6,-8.0,1,27,408kbps,61,0,0%,414,0,32,0,0,0,0,0,-0.49200007,189ns,n/a,13,4.48ms,4.5ms,4.25ms,4.03ms,4.5ms,3.96ms
2025-07-24 02:09:02.406432,metric,51,1400,600,0,0,39,0,0.846,0.103,0,0,1,12usec,38usec,563.16,47Mbps,420kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,47Mbps,1183,0,0%,5.93k,55722,0.9998835,32.5,-8.0,1,27,421kbps,62,0,0%,434,10,33,0,0,0,0,0,-0.49200007,204ns,n/a,13,4.46ms,4.5ms,4.24ms,4.03ms,4.5ms,3.96ms
2025-07-24 02:09:03.406358,metric,51,1400,600,0,0,39,0,0.846,0.1,0,0,1,12usec,41usec,634.16,47Mbps,405kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,47Mbps,1184,0,0%,16k,55597,0.9998835,32.5,-7.9,1,27,405kbps,60,0,0%,418,0,30,0,0,0,0,0,-0.49200007,210ns,n/a,13,4.47ms,4.5ms,4.15ms,4.02ms,4.5ms,3.96ms
2025-07-24 02:09:04.406385,metric,51,1400,600,0,0,18,0,0.401,0.0533,0,0,1,10usec,34usec,742.15,22Mbps,209kbps,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,metric,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,,,,1,4601,15,1.0,27,22Mbps,570,0,0%,0,26078,0.9998835,32.5,-8.0,1,27,209kbps,32,0,0%,216,0,18,0,0,0,0,0,-0.49200007,214ns,n/a,15,4.48ms,4.5ms,4.31ms,4.07ms,4.5ms,3.94ms
2025-07-24 02:09:05.406388,metric,51,1400,600,0,0,0,0,0.005,0.0117,0,0,0,7usec,33usec,896.0,,,,,,0x4601,896.6,ue_reconf,,0x4601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
